id;kvk;naam;type;identifier
22631c63-a61c-4d49-9959-919d76518943;17283654;Gemeente Nuenen, Gerwen en Nederwetten;Gemeente;GM0820
d642e1e8-a689-447f-80aa-791e57c518de;17285344;Gemeente Oirschot;Gemeente;GM0823
fa859593-2c42-4f51-92d7-0eaf95ed4659;18031929;F.L. Liebregts B.V.;Overig;
dc584536-d381-4aa2-9311-02b8653c4124;18106742;Van Oord Nederland;Overig;
8d22d27e-32c0-4214-a0f0-f1728d09fe53;18114401;Hakkers B.V.;Overig;
57450d66-1cb4-4d6b-9f2d-437c20ad4af7;20015504;Van der Straaten Geotechniek B.V.;Overig;
704f7061-8544-49fe-aba8-df98bf7216d9;20018251;Grondboorbedrijf gebrs. Konings B.V.;Overig;
35758ddc-693f-4504-897d-867782f2afdd;20032947;Strukton Civiel Zuid B.V.;Overig;
d8b2d09c-24fb-4e88-a0b1-2861ff05341c;20044878;Geo Infra B.V.;Overig;
797c15d2-4553-415f-86ab-f7226773855b;20050564;Martens en Van Oord Aannemingsbedrijf B.V.;Overig;
b2e99f86-d949-4ba8-a4a6-dec52f62fef7;20051141;AGEL adviseurs B.V.;Overig;
45b32103-fa64-4931-aa59-725772793b95;20075240;Bouwservice Management Nederland B.V.;Overig;
82c18385-589f-41a5-9605-151ac824b898;20151657;Gemeente Moerdijk;Gemeente;GM1709
554c0c92-07c4-4fd8-8baf-70adf93214c3;20164138;Gemeente Borsele;Gemeente;GM0654
9847c928-51df-4fec-9d84-d581f4398ad8;20164313;Gemeente Sluis;Gemeente;GM1714
076fecf1-16cf-4200-8784-6b778434ab11;20164410;Gemeente Drimmelen;Gemeente;GM1719
58aadc25-2fb3-4a05-ba9b-b1f75eaae122;20164480;Gemeente Halderberge;Gemeente;GM1655
d834adbe-5df4-4cf1-be29-3bedfb5d9160;20164548;Gemeente Vlissingen;Gemeente;GM0718
e668dbbf-1c06-4d6c-844a-afe0b5a34cb6;20164585;Gemeente Goes;Gemeente;GM0664
7bb224bd-e60a-4361-b5f1-ec70716f83e0;20164788;Gemeente Roosendaal;Gemeente;GM1674
3348e357-387b-4b06-bd7b-1335f23b7d07;20164797;Gemeente Woensdrecht;Gemeente;GM0873
2f959e9c-344c-4a20-a3a9-6581c1916bb8;20164929;Gemeente Terneuzen;Gemeente;GM0715
d791d76f-a57c-4212-957d-f2e52938630a;20164935;Gemeente Noord-Beveland;Gemeente;GM1695
1ba82178-bdd4-46b3-817e-0408dbf7ef0c;20164965;Gemeente Oosterhout;Gemeente;GM0826
e3c7a87e-c144-4745-b6e4-c01236130454;20164997;Gemeente Rucphen;Gemeente;GM0840
b59f8455-baf4-4ac0-aec6-f370c8fe4e82;20165025;Gemeente Steenbergen;Gemeente;GM0851
d95c80a7-6213-4ef5-a6d6-72c1b0dcb88b;20165080;Gemeente Hulst;Gemeente;GM0677
70a7eb1b-aa48-4ffa-bae0-0a4cb4ea3199;20165117;Gemeente Baarle-Nassau;Gemeente;GM0744
25f8449f-844c-4b59-b5c6-d42835cf8389;20165936;Gemeente Veere;Gemeente;GM0717
54d857f6-d546-4544-95d5-98c96f1a35bf;20166109;Gemeente Tholen;Gemeente;GM0716
84d4598f-84ba-4d21-a01d-2cc39c9e16a5;20168636;Provincie Zeeland;Provincie;PV29
8349a67e-c3e0-4640-af7e-60c81bd4a648;20169091;Gemeente Bergen op Zoom;Gemeente;GM0748
831b2a35-8d89-40dc-9748-213223d3d756;20169706;Gemeente Breda;Gemeente;GM0758
20c4fcb6-0e64-4be9-ae0d-6a05f63fd3cf;20170062;Gemeente Schouwen-Duiveland;Gemeente;GM1676
d4fcaa81-83ee-4aeb-bb54-bac370e54913;22063981;NU-adviesbureau;Overig;
c9bd76cc-0a9f-4a3b-96e7-2aeab298d269;23039023;Kuipers Electronic Engineering B.V.;Overig;
23691e7b-bdc9-46f6-94c6-fb0848c81ea3;23048358;Van den Herik Kust- en Oeverwerken B.V.;Overig;
